檔名,頁數,可開啟,已加密,文字層字數,文字層可抽取,真亂碼U_FFFD,符號字型字元數,CJK相容字數,備註,與CSV對應
115年度AI應用規劃師能力鑑定簡章(初、中級)_0410_20260410115646.pdf,28,是,否,19795,是,否,60,4,符號字型字元為項目符號，非亂碼,無（非試題檔，不納入內容比對）
AI應用規劃師(中級)-學習指引-科目1人工智慧技術應用規劃_20251222101833.pdf,168,是,否,120277,是,否,1384,0,符號字型字元為項目符號，非亂碼,無（非試題檔，不納入內容比對）
AI應用規劃師(中級)-學習指引-科目2大數據處理分析與應用_20251222101850.pdf,182,是,否,111050,是,否,2223,0,符號字型字元為項目符號，非亂碼,無（非試題檔，不納入內容比對）
AI應用規劃師(中級)-學習指引-科目3機器學習技術與應用_20251222101907.pdf,223,是,否,130671,是,否,3053,0,符號字型字元為項目符號，非亂碼,無（非試題檔，不納入內容比對）
AI應用規劃師(中級)_學習指引勘誤表_1150410_20260410150331.pdf,7,是,否,4409,是,否,44,0,符號字型字元為項目符號，非亂碼,無（非試題檔，不納入內容比對）
AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,71,是,否,44957,是,否,414,0,符號字型字元為項目符號，非亂碼,無（非試題檔，不納入內容比對）
AI應用規劃師(初級)-學習指引-科目2_生成式AI應用與規劃114123_20251222172159.pdf,62,是,否,38428,是,否,365,0,符號字型字元為項目符號，非亂碼,無（非試題檔，不納入內容比對）
AI應用規劃師(初級)學習指引勘誤表11404_20251222101819.pdf,3,是,否,1488,是,否,0,0,,無（非試題檔，不納入內容比對）
